id,title,description,genres,imdb_rating,views,ismovie,media_type_name,lang_id,language_name
17073,Marcher vers L'amour,"Stepping into Love : Lorsque son musée d'art rencontre des difficultés financières, une conservatrice conventionnelle collabore avec un artiste d'avant-garde pour concevoir une exposition originale. Elle apprend à sortir des sentiers battus pour sauver le musée et trouver l'amour.","Comedy, Romance",5.6,467196,1,Movie,10,Français
17074,Tu M'Epouseras,Girlfriend Killer : Une femme d'affaires qui crée des demandes en mariage parfaites pour des hommes riches devient la cible de l'obsession d'un client fou lorsqu'elle lui montre de la compassion après que sa petite amie l'a publiquement rejeté.,Thriller,5.1,2307335,1,Movie,10,Français
17090,UNE MÈRE DIABOLIQUE,"Killer Mom : Allison, une adolescente de 14 ans, hérite de 40 millions de dollars après la mort de son père. Lors des funérailles, sa mère biologique, Jessica, lui tend la main et lui promet d'être la mère dont elle a besoin pour ses intérêts personnels.","Drama, Thriller",5.0,886295,1,Movie,10,Français
17091,I'll Steal You Back,"Daniel and Emily were deeply in love—until the night Daniel fell gravely ill just as he was about to propose on Christmas Eve. To save his life, Emily is forced into a difficult decision: she marries James, a wealthy man who offers the funds for Daniel’s treatment. As she steps into this new marriage to protect her first love, Emily is caught in a tangled web of loyalty, sacrifice, and heartbreak, struggling between what her heart wants and what fate demands.",Romance,6.7,4756238,2,Short Drama,1,English
17092,Une Amitié Malsaine,"The Perfect Soulmate : Une blogueuse de poésie dont le mari est violent se tourne vers l'un de ses fans pour obtenir du soutien, mais elle commence à découvrir qu'elle a trouvé un compagnon encore plus dangereux.",Thriller,5.3,668792,1,Movie,10,Français
17093,La Vengeance D'une Mère,A Housekeeper's Revenge : Une étudiante soupçonne sa femme de ménage d'être la coupable d'une série d'événements étranges qui l'ont traumatisée.,"Drama, Thriller",4.6,1266586,1,Movie,10,Français
17094,Né Dans la Mauvaise Famille,"Mommy's Little Boy : Après la mort de son frère, Eric subit des violences psychologiques de la part de sa mère. Mais la situation empire lorsque sa mère met tout en œuvre pour éviter de perdre son deuxième enfant.","Drama, Thriller",5.3,3421790,1,Movie,10,Français
17095,Gentleman Menteur,"Ring of Deception : Julie Stevens, mère célibataire, tombe amoureuse d'un homme nommé Martin qui s'installe dans son quartier. Cependant, ils se retrouvent poursuivis par Sloane, une ex-amante vengeresse qui veut tuer Martin.","Drama, Thriller",4.8,802229,1,Movie,10,Français
17096,Mariage sanglant,"The Wedding Stalker : Jenna, couturière, envie les mariées qu'elle sert tout en subissant les abus de sa tante. Lorsqu'elle rencontre Marci et Glenn, un couple fiancé, elle décide de garder Glenn pour elle par tous les moyens.","Drama, Thriller",4.6,1255447,1,Movie,10,Français
17097,Vitória Por Submissão,Victory By Submission : Um lutador de MMA problemático enfrenta uma crise de fé enquanto luta para se tornar o campeão.,"Drama, Sport",6.9,9577,1,Movie,67,Português
